address,street,side,sheet,source_file,observation_year,address_confidence,raw_story_basement_notation,map_material_interpretation,map_use_label,notes,dimensions_ft,footprint_digitized,id,source_id
1916 (1930),South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,medium,2½S.B.; bay4B; rear2B,brick,D,Stacked address label appears1916 with parenthetical1930; requires directory resolution. Do not count as two proven separate houses.,,False,frontage-28-047,MAP-1911-28
1936,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,,none,vacant frontage,Frontage label at vacant corner lot; no dwelling footprint.,,False,frontage-28-048,MAP-1911-28
1801,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B,stone,D,Corner dwelling with attached garage2.,,False,frontage-28-049,MAP-1911-28
1811,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B; section2B,brick with stone front,D,Rear garage1½.,,False,frontage-28-050,MAP-1911-28
1815,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B,stone,D,Rear garage2 plus R.CL.3B notation; greenhouse complex behind adjacent lots.,,False,frontage-28-051,MAP-1911-28
1823,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B; rear2B,brick,D,,,False,frontage-28-052,MAP-1911-28
1827,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B,stone with brick rear,D,Rear barn2.,,False,frontage-28-053,MAP-1911-28
1901,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3B,stone with brick rear,D,Rear barn2.,,False,frontage-28-054,MAP-1911-28
1905,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3S.B.,brick,D,Greenhouse marked at front bay; rear barn2.,,False,frontage-28-055,MAP-1911-28
1919,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,2½S.B.,brick,The Gatlin Institute,1911 institutional use; rear garage cement floor. Do not assume1904use.,,False,frontage-28-056,MAP-1911-28
1923,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3S.B.,brick,D,Rear garage2.,,False,frontage-28-057,MAP-1911-28
1945,South Prairie Avenue,east,28,1911 - Sheet 28(1).jpg,1911,high,3S.B.; rear2B,brick,D,Corner dwelling with rear stable2.,,False,frontage-28-058,MAP-1911-28
2000,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3BB; section2BB,frame,D,Detached dwelling.,,False,frontage-35-059,MAP-1911-35
2010,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3BB; section2BB,frame,D,Detached dwelling similar to2000.,,False,frontage-35-060,MAP-1911-35
2018,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3,brick with stone front,D,Narrow long dwelling; stable to rear.,,False,frontage-35-061,MAP-1911-35
2026,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3B,stone with brick rear,D,Main block diagonal material division; rear stable.,,False,frontage-35-062,MAP-1911-35
2036,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3S.B.,brick,D,Corner house at21st; brick boundary wall6ft annotation.,,False,frontage-35-063,MAP-1911-35
2100,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3S.B.,brick,McCormick Medical College,1911 institutional use only. Brick boundary wall6ft.,,False,frontage-35-064,MAP-1911-35
2108,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,2B,brick,D,,,False,frontage-35-065,MAP-1911-35
2110,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick with stone front,D,,,False,frontage-35-066,MAP-1911-35
2112,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick with stone front,D,Rear auto building2.,,False,frontage-35-067,MAP-1911-35
2120,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,2,brick,Dress Making,1911 commercial use only; rear Electric Motor Repairing label.,,False,frontage-35-068,MAP-1911-35
2126,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3,brick,D,,,False,frontage-35-069,MAP-1911-35
2130,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,2½ and3B; rear1B,stone with brick rear,D,Round front bay.,,False,frontage-35-070,MAP-1911-35
2140,South Prairie Avenue,west,35,1911 - Sheet 35(1).jpg,1911,high,3S.B.,brick,D,Corner house with circular bay; front porch and exterior stair; rear stable.,,False,frontage-35-071,MAP-1911-35
2001,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B,brick with stone front,D,Rear garage2.,,False,frontage-35-072,MAP-1911-35
2003,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick,D,Attached row.,,False,frontage-35-073,MAP-1911-35
2005,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick,D,Attached row.,,False,frontage-35-074,MAP-1911-35
2009,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B; rear1B,brick,D,Rear garage2.,,False,frontage-35-075,MAP-1911-35
2011,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B; rear2B,brick with stone front,D,Rear garage2.,,False,frontage-35-076,MAP-1911-35
2013,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,fireproof construction,D,Explicit Fire Proof Construction label; rear garage2.,,False,frontage-35-077,MAP-1911-35
2017,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear1B/2B,brick with stone front,D,Rear garage2.,,False,frontage-35-078,MAP-1911-35
2021,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B; rear2B/1B,brick,D,Rear garage2.,,False,frontage-35-079,MAP-1911-35
2027,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B; rear2B,brick,D,Rear barn2.,,False,frontage-35-080,MAP-1911-35
2031,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick with stone front,D,Attached row; rear garage2.,,False,frontage-35-081,MAP-1911-35
2033,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick with stone front,D,Attached row; rear garage2.,,False,frontage-35-082,MAP-1911-35
2035,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick with stone front,D,Corner rowhouse; rear mixed brick/frame building Brick1st annotation.,,False,frontage-35-083,MAP-1911-35
2101,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2½B,brick,D,Rear garage2.,,False,frontage-35-084,MAP-1911-35
2109,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick,D,Rear garage2.,,False,frontage-35-085,MAP-1911-35
2115,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick with stone front,D,Rear garage2.,,False,frontage-35-086,MAP-1911-35
2123,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B; rear2B,brick with stone front,D,Rear garage2.,,False,frontage-35-087,MAP-1911-35
2125,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,2BB; rear1BB,frame,D,Rear stable2.,,False,frontage-35-088,MAP-1911-35
2127,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick,F,Attached flats with2129.,,False,frontage-35-089,MAP-1911-35
2129,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,3B,brick,F,Attached flats with2127.,,False,frontage-35-090,MAP-1911-35
2141,South Prairie Avenue,east,35,1911 - Sheet 35(1).jpg,1911,high,,none,vacant frontage,Corner frontage has no dwelling footprint.,,False,frontage-35-091,MAP-1911-35
