id,title,url,kind,date,notes,rights_status,retrieval_status,local_path,preview_path
B-kimball,The Kimball House on Chicago’s Prairie Avenue,https://glessnerhouse.blogspot.com/2013/05/the-kimball-house-on-chicagos-prairie.html,"Glessner House Museum, search-index text retrieved; full open rate-limited",retrospective; see source,"Glessner House Museum, search-index text retrieved; full open rate-limited",citation_only,reviewed research source; see dossier for reading limits,,
B-hanford,Unearthing Hanford,https://glessnerhouse.blogspot.com/2015/03/unearthing-hanford.html,"Glessner House Museum, 2015-03-30",retrospective; see source,"Glessner House Museum, 2015-03-30",citation_only,reviewed research source; see dossier for reading limits,,
B-worlds,The Worlds of Prairie Avenue,https://www.encyclopedia.chicagohistory.org/pages/10431_em.html,"Encyclopedia of Chicago; search-index text retrieved, open timed out",retrospective; see source,"Encyclopedia of Chicago; search-index text retrieved, open timed out",citation_only,reviewed research source; see dossier for reading limits,,
B-burley,"Burley and Tyrrell, January 2022",https://glessnerhouse.blogspot.com/2022/01/,Glessner House Museum research,retrospective; see source,Glessner House Museum research,citation_only,reviewed research source; see dossier for reading limits,,
B-christmas,Glessner House 2021 articles / Christmas 1911,https://glessnerhouse.blogspot.com/2021/,Glessner House Museum research,retrospective; see source,Glessner House Museum research,citation_only,reviewed research source; see dossier for reading limits,,
B-reid_nom,Reid House National Register nomination,https://nara-media.s3.amazonaws.com/electronic-records/rg-079/NPS_IL/03000783.pdf,"National Register nomination; search-index lead, full 38.7 MB PDF not retrieved",retrospective; see source,"National Register nomination; search-index lead, full 38.7 MB PDF not retrieved",citation_only,reviewed research source; see dossier for reading limits,,
B-reid_nom_acquired,"Reid House National Register nomination, 2003",https://nara-media.s3.amazonaws.com/electronic-records/rg-079/NPS_IL/03000783.pdf,"National Register primary nomination, fully acquired",retrospective; see source,"National Register primary nomination, fully acquired",citation_only,reviewed research source; see dossier for reading limits,,
G01,"John J. Glessner House, HABS IL-1015",https://www.loc.gov/item/il0118/,federal architectural survey,"{""construction"": ""1886–1887"", ""documentation"": ""after 1933""}","Catalog identifies 17 photographs, six measured drawings, 27 data pages, one caption page; unprocessed field notes FN-128. Call number HABS ILL,16-CHIG,17-. Later survey requires phase reconciliation; copied historical images may have separate rights. Item catalog verified via indexed metadata; image/PDF downloads returned 403. Acquisition update: report and six measured sheets now stored. Earlier 403 attempts remain in dossier as history; 17-photo series still not fully acquired.",item_level_review,Catalog reviewed; all six measured drawings and 27-page report subsequently acquired,research/public/glessner-habs-data.pdf,
G01-D1,Title sheet with neighborhood plan,https://www.loc.gov/resource/hhh.il0118.sheet/?sp=1,HABS measured drawing,"{""documentation"": ""after 1933""}",Original measured drawing acquired. Survey date and alterations must be reconciled before using in 1904 geometry.,item_level_review,downloaded original measured sheet,research/public/glessner-habs-sheet-1.tif,
G01-D4,Section A-A,https://www.loc.gov/resource/hhh.il0118.sheet/?sp=4,HABS measured drawing,"{""documentation"": ""after 1933""}",Original measured drawing acquired. Survey date and alterations must be reconciled before using in 1904 geometry.,item_level_review,downloaded original measured sheet,research/public/glessner-habs-sheet-4.tif,
G01-D5,Masonry details,https://www.loc.gov/resource/hhh.il0118.sheet/?sp=5,HABS measured drawing,"{""documentation"": ""after 1933""}",Original measured drawing acquired. Survey date and alterations must be reconciled before using in 1904 geometry.,item_level_review,downloaded original measured sheet,research/public/glessner-habs-sheet-5.tif,
G01-D6,Front (east) elevation,https://www.loc.gov/resource/hhh.il0118.sheet/?sp=6,HABS measured drawing,"{""documentation"": ""after 1933""}",Original measured drawing acquired. Survey date and alterations must be reconciled before using in 1904 geometry.,item_level_review,downloaded original measured sheet,research/public/glessner-habs-sheet-6.tif,
G01-P12,"Photocopy of preliminary design, courtesy Houghton Library",https://www.loc.gov/resource/hhh.il0118.photos/?sp=12,HABS copy of historic architectural design,{},Links the LOC survey to the Harvard Richardson originals. Preliminary design is not proof of as-built form.,item_level_review,indexed-record-verified,,
G01-P,HABS photo series,https://www.loc.gov/resource/hhh.il0118.photos?st=gallery,federal photo collection,{},17 cataloged photographs. Individual dates and captions must be read before assigning chronological state.,item_level_review,indexed-record-verified; download-blocked,,
G01-T,HABS data PDF,https://cdn.loc.gov/master/pnp/habshaer/il/il0100/il0118/data/il0118data.pdf,federal survey report,{},Cataloged 27-page report; acquisition target. No report measurements transcribed because binary retrieval failed. Acquisition update: report and six measured sheets now stored. Earlier 403 attempts remain in dossier as history; 17-photo series still not fully acquired.,item_level_review,Catalog reviewed; all six measured drawings and 27-page report subsequently acquired,research/public/glessner-habs-data.pdf,
G01-C,HABS photo captions PDF,https://cdn.loc.gov/master/pnp/habshaer/il/il0100/il0118/data/il0118cap.pdf,federal survey caption list,{},"Caption list acquisition target. Must reconcile photographed dates, views, and alterations.",item_level_review,download-blocked-403,,
G02,The House,https://www.glessnerhouse.org/the-house,building custodian history,{},"Rusticated Braggville pink granite faces a brick structure above Illinois dolomite. E-shaped plan fronts east/north/west lot edges; south courtyard admits light. Over 17,000 square feet; service space exceeds half. Three family, two guest, eight servant bedrooms; eleven fireplaces; seven staircases. Post-family institutional use began after 1936; 1946 conversion, 1966 preservation purchase. Granite thickness stated 8–10 inches here conflicts with about seven inches in G03; modern description is not a dated 1904 inventory.",check_required,web-reviewed,,
G03,The Collection — architectural and household evidence,https://www.glessnerhouse.org/the-collection,museum object catalog essays,"{""Richardson sketch"": ""1885-05-14"", ""Story of a House"": ""1923""}","Richardson sketch dated May 14, 1885. John Glessner’s 1923 memoir includes 25 typed pages, floorplans and Kaufmann & Fabry photographs, including two unique Fanny-bedroom views. Kitchen annunciator used twelve call buttons. A 1965 sale flyer records institutional plans and paved courtyard; museum corrects its stone-veneer claim to about seven inches. Collection essays span many years. Date every object; 1923 photographs and 1965 plans are not direct 1904 snapshots. Original memoir not fully acquired.",check_required,web-reviewed,,
G04,Exterior from Inland Architect,https://www.glessnerhouse.org/exterior-from-inland-architect,museum reproduction of contemporary publication,"{""publication"": ""1888-02"", ""publication_detail"": ""The Inland Architect and News Record, vol. XI no. 1""}","Period exterior photograph and first-floor sketch published two months after the family moved in. Provides 1888 baseline, not automatic proof of unchanged 1904 details.",check_required,web-reviewed,,
G05,Porte Cochere doors,https://www.glessnerhouse.org/porte-cochere-doors,museum reproduction of family photograph,"{""photo"": ""circa 1888"", ""photographer"": ""George Glessner""}",Period front driveway doors; these sheltered carriage arrivals. Museum used the photograph to recreate doors removed during the 1950s for an overhead garage door. Historic photo is direct baseline; present restored doors should be cross-checked against it.,check_required,web-reviewed,,
G06,Double Bough,https://www.glessnerhouse.org/double-bough,museum interior conservation history,"{""pattern"": ""1891"", ""installation"": ""1892"", ""repapering"": ""1916"", ""reproduction"": ""2015""}","Corner guest-room Morris & Co. wallpaper selected after electrification in 1892, selected again in 1916; current paper is a 2015 reproduction. Supports 1904 pattern attribution, not proof of exact surviving shade or condition.",check_required,web-reviewed,,
G07,Electricity comes to Glessner House,https://glessnerhouse.blogspot.com/2013/08/electricity-comes-to-glessner-house.html,official museum blog citing family correspondence,"{""publication"": ""2013-08-12"", ""electrification"": ""1892 summer"", ""staff instructions"": ""1901""}","July 1892 correspondence documents electric conversion, repainting and a gas explosion. Original gas fixtures in main hall/parlor were converted. Parlor received Pretyman wall covering; other rooms Morris papers. Kerosene lamps remained in use in 1901. Basement wood conduit survives. 1923 photos show some changed fixtures of unknown installation date. Do not infer 1904 fixtures from all 1923 photographs. Original prewiring is presumed in article, not confirmed by building specifications.",check_required,web-reviewed,,
G08,Glessner Family,https://www.glessnerhouse.org/glessner-family,museum family history,"{""silversmith bench"": ""1904""}","Frances established a basement workbench in 1904 for silverwork. Exact installation month, equipment inventory and room dimensions require journal verification.",check_required,indexed-record-verified,,
G09,Heating Glessner House — Then and Now,https://glessnerhouse.blogspot.com/2015/12/heating-glessner-house-then-and-now.html,museum building-services history,"{""publication"": ""2015-12""}","Source discusses original heating and quotes the 1923 memoir. A photographed thermostat was made by a company organized in 1904. Company founding gives only a terminus post quem, not proof that this thermostat existed in the 1904 house.",check_required,indexed-record-verified,,
G10,Preservation Month Part I — Dining Room,https://glessnerhouse.blogspot.com/2020/05/preservation-month-part-i-dining-room.html?m=0,museum room restoration account,"{""publication"": ""2020-05"", ""fixtures electrified"": ""1892"", ""tiles removed"": ""1938-04""}",Dining-room gas fixtures converted in 1892 with glass shades added. Iznik fireplace tiles removed by Frances Glessner Lee in 1938; later recreated. Track originals versus recreated surfaces; historic photos are required for 1904 placement.,check_required,indexed-record-verified,,
G11,Preservation Month Part II — Main Hall,https://glessnerhouse.blogspot.com/2020/05/preservation-month-part-ii-main-hall.html,museum room restoration account,"{""publication"": ""2020-05"", ""earliest photograph"": ""1888""}",Includes George Glessner’s earliest known main-hall photograph and discussion of later restoration. Modern restoration is an interpretive reconstruction; date historic views separately.,check_required,web-reviewed,,
G12,Stone capitals on Glessner House,https://glessnerhouse.blogspot.com/2013/02/the-stone-capitals-on-glessner-house.html,museum ornament history,"{""publication"": ""2013-02""}",Examines capital design; Isaac Scott proposals were not accepted by the Glessners. Rejected designs must not be modeled as executed ornament.,check_required,indexed-record-verified,,
G13,A Tale of Thirty-Five Tiles,https://glessnerhouse.blogspot.com/2018/11/a-tale-of-thirty-five-tiles.html?m=0,museum conservation account,"{""restoration reopening"": ""2018-11-07""}",Documents master-bedroom tile restoration and return from family ownership. Use to distinguish removed/reinstalled originals from twentieth-century conditions.,check_required,indexed-record-verified,,
G14,Datestone,https://www.glessnerhouse.org/datestone,museum architectural detail,"{""setting"": ""1886-11 approximately""}",North-facing east-end gable bears A.D. and 1886 datestones; journal places near-completion of exterior stonework in November 1886. 1886 date stone is not occupancy year; finished house occupied in December 1887.,check_required,indexed-record-verified,,
G15,Research Opportunities,https://www.glessnerhouse.org/research-opportunities,custodian archive access description,{},"Museum holds historic photographs, family papers, restoration files, drawings and published articles. Appointment-based access. Collections are not comprehensively digitized. No appointment or contact was made.",check_required,web-reviewed,,
G16,"Henry Hobson Richardson drawings, circa 1886–1940",https://hollisarchives.lib.harvard.edu/catalog/hou00434,Harvard archival finding aid,{},"Finding aid includes Glessner project. Drawing codes distinguish plans A, elevations B, sections C, exterior details D, interior details E, site/perspective F. Digital microfilm index linked. Exact Glessner series/item numbers and drawings still require extraction. Direct open rate-limited; indexed record verified.",check_required,indexed-record-verified; direct-open-429,,
G16-I,Richardson drawing microfilm index,https://iiif.lib.harvard.edu/manifests/view/drs:474641184$363i,Harvard digital index,{},Index URL provided by Harvard finding aid. Lead only: not yet inspected; do not claim individual drawings acquired.,check_required,catalog-linked-lead,,
G17,Glessner family papers,https://www.aaa.si.edu/collections/surveys/chicago/chicago-history-museum/glessner-family-papers,Smithsonian survey of Chicago History Museum holdings,{},Survey identifies family papers at Chicago History Museum and museum-held searchable typescript of Frances Glessner journals. Indexed summary gives erroneous/ambiguous 1886 move-in chronology; prefer 1887 contemporary evidence. Direct page retrieval failed.,check_required,indexed-record-verified; direct-open-failed,,
G18,Isaac Scott papers,https://www.aaa.si.edu/collections/surveys/chicago/glessner-house-museum/isaac-scott-papers,Smithsonian archival holdings survey,{},"Design drawings, sketches, photographs and correspondence; three flat files, two oversize folders, portfolio and four tubes. Finding aid describes holdings, not digitized object access.",check_required,indexed-record-verified,,
G19,Scrapbook of Glessner correspondence,https://www.aaa.si.edu/collections/surveys/chicago/glessner-house-museum/scrapbook-glessner-correspondence,Smithsonian archival holdings survey,"{""coverage"": ""1880–1904""}","Bound scrapbook of letters to John and Frances from artists, designers and other correspondents. Finding aid only; no letters acquired or transcribed.",check_required,indexed-record-verified,,
G20,Virtual Tour,https://www.glessnerhouse.org/virtual-tour,museum contemporary spatial reference,{},Interactive present-day tour reference. Contemporary restored state; do not use as 1904 truth without phase controls.,check_required,indexed-record-verified,,
G21,Glessner House landmark entry,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1315,City of Chicago civic landmark record,{},Civic identity and designation reference for 1800 South Prairie Avenue. Designation history is different from construction chronology.,check_required,indexed-record-verified,,
G22,Glessner House National Historic Landmark nomination,https://npgallery.nps.gov/GetAsset/e8026882-ab58-4a8a-b093-6ed95af4fc3d,NPS nomination PDF,{},Nomination document identified in search; building narrative and bibliography target. Lead: full PDF not yet acquired or page-audited.,check_required,indexed-document-lead,,
G23,Prairie Avenue 1887,https://www.glessnerhouse.org/prairie-avenue-1887,museum reproduction of Ward Bros publication,"{""publication"": ""1887""}",Northward street view from 20th Street/Cullerton published in Souvenir of Chicago. Street scene predates 1904; identify individual parcels before using it for geometry.,check_required,indexed-record-verified,,
G24,Prairie Avenue neighborhood history,https://www.glessnerhouse.org/prairie-avenue,museum neighborhood history,"{""last new house"": ""1904"", ""institutional conversions"": ""by 1910""}",Museum gives 1904 as the last new house for nearly a century; by 1910 medical school and addiction clinic were present. Useful rationale for a 1904 baseline and 1910/1911 change horizon; individual demolition dates require parcel evidence.,check_required,indexed-record-verified,,
civic-bluebook-1903,"Chicago Blue Book of Selected Names, 1903",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1903chic/chicagobluebooko1903chic.pdf,directory,1903,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1904,"Chicago Blue Book of Selected Names, 1904",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1904chic/chicagobluebooko1904chic.pdf,directory,1904,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF downloaded,,
civic-bluebook-1905,"Chicago Blue Book of Selected Names, 1905",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1905chic/chicagobluebooko1905chic.pdf,directory,1905,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1906,"Chicago Blue Book of Selected Names, 1906",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1906chic/chicagobluebooko1906chic.pdf,directory,1906,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1907,"Chicago Blue Book of Selected Names, 1907",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1907chic/chicagobluebooko1907chic.pdf,directory,1907,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1908,"Chicago Blue Book of Selected Names, 1908",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1908chic/chicagobluebooko1908chic.pdf,directory,1908,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1909,"Chicago Blue Book of Selected Names, 1909",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1909chic/chicagobluebooko1909chic.pdf,directory,1909,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-bluebook-1910,"Chicago Blue Book of Selected Names, 1910",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1910chic/chicagobluebooko1910chic.pdf,directory,1910,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF downloaded,,
civic-bluebook-1911,"Chicago Blue Book of Selected Names, 1911",https://libsysdigi.library.illinois.edu/oca/Books2007-10/chicagobluebooko/chicagobluebooko1911chic/chicagobluebooko1911chic.pdf,directory,1911,"Selected householders listed alphabetically and numerically by street. Annual comparison identifies occupancy changes and address leads. A selective social directory, not a census or complete building inventory. No listing does not mean vacant or demolished. For 1904 title is year ending 1904, copyright 1903; preface says canvass begins early September for issue before holidays. Confirm season/year before asserting exact residence dates. Core Prairie entries: printed pp.186–187; PDF pages 188–189 in both 1904 and 1910.","Underlying pre-1931 US published work public domain; UIUC terms call content public domain but specify personal/educational use, attribution and commercial permission. Preserve attribution; repository terms review required before derivatives/commercial republication.",downloaded original OCR; PDF URL follows verified series links; PDF not downloaded,,
civic-sanborn-index,Chicago Sanborn Maps Index,https://www.chipublib.org/chicago-sanborn-maps-index/,map,modern finding aid,"CPL identifies Near South Side coverage as Chicago series 1905–1951, volume 3, 1911; a separate version is 1911 revised through June 1950. Use original 1911, not revised 1950 sheets, as post-1904 bracket; validate every altered/demolished building against earlier evidence. The series date 1905–1951 is not the date of every sheet.",Catalog/finding aid only; underlying object rights require item-level review.,verified catalog or finding aid,,
civic-sanborn-1911-v3,"Sanborn Fire Insurance Map, Chicago, volume 3",https://www.loc.gov/item/sanborn01790_020/,map,1911,"143-image Near South Side atlas; loc resource g4104cm.g01790191103. Exact printed sheet-to-image sequence must be checked against index. Seven years later than target. Useful footprints, materials, stories, outbuildings, widths and uses only after change chronology reconciliation. Original title/index and revision marks govern.",Published 1911 US maps public domain; retain LOC credit.,catalog/search verified; web direct open returned 403; not downloaded,,
civic-sanborn-holdings,UIUC Sanborn Holdings — Chicago,https://www.library.illinois.edu/max/collections/sanborn-fire-insurance-maps-new/uiuc-sanborn-holdings-new/sanborn-holdings-chicago-new/,map,modern finding aid,"Confirms 1911 volume 3 contains 143 sheets/images in holdings. Finding aid corroboration, not measured map evidence.",Catalog/finding aid only; underlying object rights require item-level review.,verified catalog or finding aid,,
civic-uic-permits,Chicago Building Permits Digital Collection 1872–1954,https://researchguides.uic.edu/CBP/home,permits,1872–1954,"UIC collection: first locate historical address in street index, record permit number/date/book/page, select matching South-side ledger date span, then verify permit number and address. Pre-1912 permits span rows and sometimes two pages; fields can include owner, stories, frontage, depth, lot/block/subdivision and building type. Amount received can be permit fee, not construction cost. Handwritten collection requires page-level transcription. No Prairie-specific permit has been retrieved in this pass. Fire reports 1933–1968 and construction data 1917–1925 are later context, not 1904 evidence.",Rights not evaluated at item level.,UIC guide read via direct HTTP; digital collection returned 403. No individual permit retrieved.,,
civic-contractor-index,"American Contractor building permit column index, 1898–1912",https://chsmedia.org/househistory/1898-1912permits/search.asp,permits,1898–1912,"Chicago History Museum index linked by CPL: route to permit notices, owner, architect and construction descriptions. Index only until actual article/permit inspected. Search all Prairie addresses, aliases and cross-street addresses.",Finding aid; period newspaper/article rights at item level.,CPL link verified; direct request timed out,,
civic-renumbering,Chicago 1909 street number changes guide,https://chsmedia.org/househistory/1909snc/start.pdf,addresses,1909,Primary crosswalk for the large citywide 1909 address change; linked by CPL house-history guide. Do not automatically renumber Prairie Avenue: verify address and parcel individually. Many core Prairie numbers appear stable between 1904 and 1910 Blue Books.,Original 1909 publication public domain; CHM scan terms not evaluated.,CPL link verified; web request timed out and direct download returned HTTP 502. Not downloaded.,,
civic-directory-holdings,Chicago History Museum city directory guide,https://chsmedia.org/media/fa/fa/LIB/DirGuide.htm,directory,modern finding aid,"Describes directory contents and coverage, including persons occupations/employers and house versus boarding notation. Full 1904 Lakeside directory not retrieved. Blue Book is not substitute for all residents/workers.",Finding aid.,search snippet verified; direct request timed out,,
civic-1905-code,Revised Municipal Code of Chicago of 1905,https://catalog.hathitrust.org/Record/100687762,codes,1905,"Tolman code: ordinances in force March 20, 1905, supplement March–September 1905; 979 pages; full-view University of Minnesota scan. Post-target legal snapshot. Trace cited enactment and amendment dates to establish rules actually effective during 1904; do not retroject 1905 or 1910 theater/fire rules.",Pre-1931 published US work public domain; viewer/download terms apply.,catalog opened; full document not downloaded,,
civic-code-guide,Chicago Municipal Code historical research guide,https://www.chipublib.org/blogs/post/the-chicago-municipal-code-how-to-find-and-research-historical-codes/,codes,modern finding aid,"CPL historical code chronology routes to 1881, 1890, 1905 and 1911 compilations. A law specifies requirement, not proof a particular structure complied. Chicago zoning dates from 1923; avoid modern zoning overlay in 1904 scene.",Catalog/finding aid only; underlying object rights require item-level review.,verified catalog or finding aid,,
civic-paving-1904,A report to the Street Paving Committee ... on the street paving problem of Chicago,https://books.google.com/books?id=s8YNAAAAYAAJ,streets,1904,"John W. Alvord, R.R. Donnelley & Sons, 33 pages; engineering assessment of pavement materials, economics and traffic. Citywide context; does not establish Prairie block paving without inspecting block-specific map/table or ordinance. No asserted Prairie pavement dimensions in this pass.",Published 1904 US work public domain; digitizer terms apply.,Google Books catalog and full-view indication verified; PDF not downloaded,,
civic-census-1900,1900 Federal Population Census catalog,https://www.archives.gov/research/census/microfilm-catalog/1900/part-01,census,1900,"NARA schedules microfilm T623, enumeration-district descriptions T1210. Find Cook County/Chicago ward and ED then inspect full sheets for households and live-in workers. Four-year pre-target observation. No household schedule has been retrieved or transcribed. Do not assign household members from surname directory alone.",US federal records public domain; digitization-provider access terms apply.,verified catalog or finding aid,,
civic-census-1910,1910 Federal Population Census catalog,https://www.archives.gov/research/census/publications-microfilm-catalogs-census/1910/general-info,census,1910,NARA population census guide and catalog. Companion endpoint https://www.archives.gov/research/census/online-resources documents fields and access. Six-year post-target observation. Must not copy 1910 household composition into 1904 without intermediate evidence. No individual schedule retrieved.,US federal records public domain; provider access terms apply.,verified catalog or finding aid,,
civic-househistory-guide,CPL online house-history checklist,https://www.chipublib.org/blogs/post/historic-house-hunters-a-fictional-search-for-the-kaehler-familys-dream-home-in-1890s-chicago/,research-guide,2025,"Links permits, renumbering, maps, census ED aids, Blue Book, directories, photographs, historic newspapers. Methodological finding aid only. Specific list entities are discovery links, not retrieved Prairie documents.",Catalog/finding aid only; underlying object rights require item-level review.,verified catalog or finding aid,,
