address,street,year_label,source_id,source_locator,listed_people,verification,limits
1736,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Hugh McBirney household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1800,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,John J. Glessner household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1801,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,W. W. Kimball household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1808,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Stanley Field household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1812,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Lawrence A. Young household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1815,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Arthur Meeker household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1816,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. Charles M. Henderson,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1823,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Thomas Dent household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1824,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Secor Cunningham household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1828,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Daniel B. Shipman,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1834,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Fernando Jones household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1900,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Elbridge G. Keith household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1901,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Norman B. Ream household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1904,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Walter W. Keith household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1905,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Marshall Field,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1906,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. Edson Keith,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1912,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Frank Orren Lowden household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1919,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Marshall Field Jr. household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1923,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. C. P. Kellogg; Mrs. Lois Kellogg,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1936,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,S. W. Allerton household; Robert H. Allerton,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1945,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. Henry Corwith; Charles R. Corwith,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2000,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,John M. Clark household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2001,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,W. C. Free household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2003,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. H. W. Hoyt household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2005,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Casey A. Wood household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2009,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,M. A. Meyer household; E. F. Meyer; Albert Meyer; Carl Meyer; Abraham Meyer,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2010,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,W. L. Grey household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2011,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Augustus D. Lamb; Benjamin B. Lamb,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2013,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,William H. Reid household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2017,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,A. J. McBean household; George B. McBean; A. J. F. McBean household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2018,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,E. Walter Herrick; Mrs. L. A. Herrick; Louise Herrick; Mrs. Nicolas de Teresa; Isabel de Teresa,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2021,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. James L. High household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2026,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. D. Stettauer household; Charles S. Stettauer,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2027,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. J. J. Borland; Chauncey Blair Borland; Bruce Borland,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2031,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Samuel A. Tolman household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2033,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,F. R. Otis household; Charles T. Otis; Lucius J. Otis,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2035,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. H. O. Stone,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2036,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,E. Buckingham household; Clarence Buckingham,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2101,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Eugene S. Pike household; Eugene R. Pike household; William Wallace Pike,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2109,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Robert W. Roloson,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2110,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Edson Keith Jr. household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2112,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. M. M. Rothschild household; Jesse Rothschild,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2115,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. Philip D. Armour,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2120,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Frank S. Gorton household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2123,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Thomas H. Hubbart [OCR reading; verify spelling],OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2126,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Edward F. Robbins household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
2140,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Byron L. Smith household; Walter B. Smith; Harold C. Smith; Bruce D. Smith,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
