frontage_id,map_address,map_source_id,candidate_building_ids,directory_candidate_addresses,match_status,note
frontage-20-016,1708,MAP-1911-20,"[""pa-1708-54""]",[1708],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-017,1712,MAP-1911-20,[],[1712],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-018,1720,MAP-1911-20,"[""pa-1720-55""]",[1720],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-019,1726,MAP-1911-20,"[""pa-1726–1728-s.-prairie-avenue-(predecessor)-51""]",[1726],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-020,1730,MAP-1911-20,[],[1730],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-021,1736,MAP-1911-20,"[""pa-1736-49""]",[1736],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-022,1601,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-023,1603,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-024,1607–1611,MAP-1911-20,"[""pa-1611-1904-correction""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-025,1613,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-026,1615,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-027,1619,MAP-1911-20,[],[1619],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-028,1621,MAP-1911-20,[],[1621],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-029,1623,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-030,1625,MAP-1911-20,[],[1625],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-031,1637,MAP-1911-20,"[""pa-1637-45""]",[1637],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-032,1701,MAP-1911-20,"[""pa-1701-3""]",[1701],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-033,1709,MAP-1911-20,"[""pa-1709-46"", ""pa-1709-s.-prairie-avenue-(successor)-47""]",[1709],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-034,1719,MAP-1911-20,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-035,1729,MAP-1911-20,"[""pa-1729-5""]",[1729],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-036,1800,MAP-1911-28,"[""pa-1800-22""]",[1800],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-037,1808,MAP-1911-28,"[""pa-1808-6""]",[1808],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-038,1812,MAP-1911-28,"[""pa-1812-7""]",[1812],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-039,1816,MAP-1911-28,"[""pa-1816-33""]",[1816],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-040,1824,MAP-1911-28,"[""pa-1824-8""]",[1824],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-041,1828,MAP-1911-28,[],[1828],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-042,1834,MAP-1911-28,"[""pa-1834-9""]",[1834],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-043,1900,MAP-1911-28,"[""pa-1900-25""]",[1900],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-044,1906,MAP-1911-28,"[""pa-1906-34""]",[1906],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-045,1908,MAP-1911-28,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-046,1912,MAP-1911-28,"[""pa-1912-10""]",[1912],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-047,1916 (1930),MAP-1911-28,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-048,1936,MAP-1911-28,"[""pa-1936-11""]",[1936],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-049,1801,MAP-1911-28,"[""pa-1801-23""]",[1801],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-050,1811,MAP-1911-28,"[""pa-1811-24""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-051,1815,MAP-1911-28,"[""pa-1815-12""]",[1815],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-052,1823,MAP-1911-28,"[""pa-1823-13""]",[1823],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-053,1827,MAP-1911-28,"[""pa-1827-14""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-054,1901,MAP-1911-28,"[""pa-1901-15""]",[1901],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-055,1905,MAP-1911-28,"[""pa-1905-16""]",[1905],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-056,1919,MAP-1911-28,"[""pa-1919-26""]",[1919],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-057,1923,MAP-1911-28,"[""pa-1923-35""]",[1923],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-28-058,1945,MAP-1911-28,[],[1945],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-059,2000,MAP-1911-35,[],[2000],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-060,2010,MAP-1911-35,[],[2010],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-061,2018,MAP-1911-35,[],[2018],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-062,2026,MAP-1911-35,[],[2026],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-063,2036,MAP-1911-35,"[""pa-2036-38""]",[2036],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-064,2100,MAP-1911-35,"[""pa-2100-18""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-065,2108,MAP-1911-35,"[""pa-2108-40""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-066,2110,MAP-1911-35,"[""pa-2110-30""]",[2110],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-067,2112,MAP-1911-35,"[""pa-2112-39""]",[2112],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-068,2120,MAP-1911-35,[],[2120],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-069,2126,MAP-1911-35,"[""pa-2126-20""]",[2126],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-070,2130,MAP-1911-35,"[""pa-2130-42""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-071,2140,MAP-1911-35,"[""pa-2140-21""]",[2140],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-072,2001,MAP-1911-35,[],[2001],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-073,2003,MAP-1911-35,[],[2003],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-074,2005,MAP-1911-35,[],[2005],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-075,2009,MAP-1911-35,"[""pa-2009-17""]",[2009],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-076,2011,MAP-1911-35,[],[2011],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-077,2013,MAP-1911-35,"[""pa-2013-29""]",[2013],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-078,2017,MAP-1911-35,[],[2017],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-079,2021,MAP-1911-35,"[""pa-2021-36""]",[2021],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-080,2027,MAP-1911-35,"[""pa-2027-37""]",[2027],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-081,2031,MAP-1911-35,"[""pa-2031-nrhp""]",[2031],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-082,2033,MAP-1911-35,"[""pa-2033-nrhp""]",[2033],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-083,2035,MAP-1911-35,"[""pa-2035-nrhp""]",[2035],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-084,2101,MAP-1911-35,[],[2101],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-085,2109,MAP-1911-35,"[""pa-2109-41""]",[2109],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-086,2115,MAP-1911-35,"[""pa-2115-19""]",[2115],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-087,2123,MAP-1911-35,[],[2123],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-088,2125,MAP-1911-35,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-089,2127,MAP-1911-35,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-090,2129,MAP-1911-35,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-35-091,2141,MAP-1911-35,[],[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
