source_file,pdf_page,address,property,value,unit,note,temporal_qualification,source_id
wheeler-kohn-nrhp-1999.pdf,22,2018 S. Calumet Avenue,plan,1,sheet,"Includes two parlors, vestibule, porch, dining room, hall and pantry.","Nomination-era surveyed layout, includes later fire stair",pa-wheeler-kohn-nrhp-1999
kimball-habs-data.pdf,2,1801 S. Prairie Avenue,height form,2.5,stories above raised basement,"L-shaped with attached carriage house; Bedford stone, wood frame floors/roof.",1967 survey observation,pa-kimball-habs-il1077
kimball-habs-data.pdf,3,1801 S. Prairie Avenue,roof and exterior finishes,,,"Black slate, copper ridges and finials, black wood sash.",1967 survey observation; verify 1904 finish evidence,pa-kimball-habs-il1077
kimball-habs-data.pdf,4,1801 S. Prairie Avenue,rear cellar tile,3 × 6,in,Unglazed red tile.,1967 observed finish; original date not established,pa-kimball-habs-il1077
kimball-habs-data.pdf,4,1801 S. Prairie Avenue,parlor wainscot line,4.5,ft approx,Bookcases and mantel continue at this height.,1967 survey observation,pa-kimball-habs-il1077
kimball-habs-data.pdf,5,1801 S. Prairie Avenue,north sidewalk slab,4,ft square approx,Limestone blocks.,1967 survey observation; not automatically 1904,pa-kimball-habs-il1077
kimball-habs-data.pdf,5,1801 S. Prairie Avenue,iron fence height,6,ft,Fence dips at curved front balcony.,1967 survey observation; do not use later chain-link parking enclosure in 1904,pa-kimball-habs-il1077
glessner-habs-data.pdf,22,1800 S. Prairie Avenue,granite facing thickness,6 and 8,in,Brick backing; Wellesley granite facing with deeper returns.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,22,1800 S. Prairie Avenue,roof tile module,6 wide; 5 exposed,in,Survey describes tar-covered terracotta; reconcile restoration and original specifications.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,23,1800 S. Prairie Avenue,principal oak floor strip width,2.25,in,1963 architectural description.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,23,1800 S. Prairie Avenue,bathroom and service-floor tile module,6,in square,Service floors alternate red/tan; bathrooms separately described.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,23,1800 S. Prairie Avenue,corridor wainscot height,3,ft,Tower and wing corridors.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,23,1800 S. Prairie Avenue,bathroom tile height,5,ft,Six-inch square wall tiles.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-data.pdf,23,1800 S. Prairie Avenue,glazed white service brick,2.25 × 8.25,in,Black joints 1/8 in; kitchen/pantries/laundry/stable/harness spaces.,August 1963 HABS observation; match with 1904 phase before use,pa-glessner-habs-data
glessner-habs-sheet-2.tif,,1800 S. Prairie Avenue,overall east-west extent,161 ft 3 in,imperial,"Read dimension annotation along 18th Street edge; first-floor plan, 1963.",1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-2
glessner-habs-sheet-2.tif,,1800 S. Prairie Avenue,overall east/front north-south extent,74 ft 0 in,imperial,Read dimension annotation at Prairie Avenue frontage; 1963.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-2
glessner-habs-sheet-2.tif,,1800 S. Prairie Avenue,wood stair behind service wing,1955,approximate year added,Sheet explicitly notes circa1955; EXCLUDE this stair from 1904.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-2
glessner-habs-sheet-2.tif,,1800 S. Prairie Avenue,service stalls,,,"Dotted lines are PROBABLE stall partitions based on early drawings, not surveyed extant partitions.",1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-2
glessner-habs-sheet-3.tif,,1800 S. Prairie Avenue,coachmen/hayloft partitions,,,Dotted lines reconstruct probable separation from early drawings; retain inference status.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-3
glessner-habs-sheet-6.tif,,1800 S. Prairie Avenue,north chimney top above door datum,48.62,ft,Annotation 48.62 ±0.02. April6 1965 photogrammetry; door datum0.00.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-6
glessner-habs-sheet-6.tif,,1800 S. Prairie Avenue,second-floor window soffit above door datum,24.3,ft,Read drawing annotation; April6 1965 photogrammetry.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-6
glessner-habs-sheet-6.tif,,1800 S. Prairie Avenue,sidewalk before door relative to door datum,-0.74,ft,Read drawing annotation; do not conflate with Chicago City Datum.,1963/1965 measured record; assess against target1904,pa-glessner-habs-sheet-6
